"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Starlink-1580 ,Starlink-1580 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055Q,46041,LEO - Non-Polar Inclined
Starlink-1581 ,Starlink-1581 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055R,46042,LEO - Non-Polar Inclined
Starlink-1582 ,Starlink-1582 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055S,46043,LEO - Non-Polar Inclined
Starlink-1583 ,Starlink-1583 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AP,46064,LEO - Non-Polar Inclined
Starlink-1584 ,Starlink-1584 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055T,46044,LEO - Non-Polar Inclined
Starlink-1585 ,Starlink-1585 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057A,46117,LEO - Non-Polar Inclined
Starlink-1586 ,Starlink-1586 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057W,46137,LEO - Non-Polar Inclined
Starlink-1587 ,Starlink-1587 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AS,46157,LEO - Non-Polar Inclined
Starlink-1588 ,Starlink-1588 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057B,46118,LEO - Non-Polar Inclined
Starlink-1589 ,Starlink-1589 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AT,46158,LEO - Non-Polar Inclined
Starlink-1590 ,Starlink-1590 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057X,46138,LEO - Non-Polar Inclined
Starlink-1591 ,Starlink-1591 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-07 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055U,46045,LEO - Non-Polar Inclined
Starlink-1593 ,Starlink-1593 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057C,46119,LEO - Non-Polar Inclined
Starlink-1594 ,Starlink-1594 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057Z,46140,LEO - Non-Polar Inclined
Starlink-1595 ,Starlink-1595 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AU,46159,LEO - Non-Polar Inclined
Starlink-1596 ,Starlink-1596 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AA,46141,LEO - Non-Polar Inclined
Starlink-1597 ,Starlink-1597 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AB,46142,LEO - Non-Polar Inclined
Starlink-1598 ,Starlink-1598 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AV,46160,LEO - Non-Polar Inclined
Starlink-1600 ,Starlink-1600 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AW,46161,LEO - Non-Polar Inclined
Starlink-1601 ,Starlink-1601 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057D,46120,LEO - Non-Polar Inclined
Starlink-1602 ,Starlink-1602 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057E,46121,LEO - Non-Polar Inclined
Starlink-1603 ,Starlink-1603 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AX,46162,LEO - Non-Polar Inclined
Starlink-1604 ,Starlink-1604 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057F,46122,LEO - Non-Polar Inclined
Starlink-1605 ,Starlink-1605 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057G,46123,LEO - Non-Polar Inclined
Starlink-1606 ,Starlink-1606 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AD,46144,LEO - Non-Polar Inclined
Starlink-1607 ,Starlink-1607 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AE,46145,LEO - Non-Polar Inclined
Starlink-1608 ,Starlink-1608 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AF,46146,LEO - Non-Polar Inclined
Starlink-1609 ,Starlink-1609 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2021-02-15 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2021-012B,47621,LEO - Non-Polar Inclined
Starlink-1610 ,Starlink-1610 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AY,46163,LEO - Non-Polar Inclined
Starlink-1611 ,Starlink-1611 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,551,0.0004016601954746285,53,95.6,260.0,2020-08-18 00:00:00,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AG,46147,LEO - Non-Polar Inclined
