NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
50176,2021-125W ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50829,2022-001AC ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50840,2022-001AP ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50168,2021-125N ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50159,2021-125D ,LEO - Non-Polar Inclined,0.0,352,354,0.0002826455624646693,53.2,91.5,260.0,4.0
50165,2021-125K ,LEO - Non-Polar Inclined,0.0,352,353,0.0001413427561837456,53.2,91.5,260.0,4.0
50831,2022-001AE ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50841,2022-001AQ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50169,2021-125P ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50842,2022-001AR ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50162,2021-125G ,LEO - Non-Polar Inclined,0.0,338,340,0.00028376844494892167,53.2,91.5,260.0,4.0
50161,2021-125F ,LEO - Non-Polar Inclined,0.0,353,355,0.00028256569652444194,53.2,91.5,260.0,4.0
50166,2021-125L ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50163,2021-125H ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50846,2022-001AV ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50158,2021-125C ,LEO - Non-Polar Inclined,0.0,352,354,0.0002826455624646693,53.2,91.5,260.0,4.0
50835,2022-001AJ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50849,2022-001AY ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50850,2022-001AZ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50157,2021-125B ,LEO - Non-Polar Inclined,0.0,355,356,0.00014122299110295156,53.2,91.5,260.0,4.0
50851,2022-001BA ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50848,2022-001AX ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50833,2022-001AG ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50156,2021-125A ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50837,2022-001AL ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50847,2022-001AW ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50839,2022-001AN ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50803,2022-001A ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50838,2022-001AM ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50804,2022-001B ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50814,2022-001M ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50843,2022-001AS ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50844,2022-001AT ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50819,2022-001S ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50832,2022-001AF ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
